,content,label,start
0,áo_bao đẹp ạ,POS,5
1,tuyệt_vời,POS,5
2,2 day ao khong giong trong,NEG,1
3,mùi thơm bôi lên_da mềm da,POS,5
4,vải đẹp dày_dặn,POS,5
5,hàng rất đẹp rất chi_là ưng_ý,POS,5
6,chất_lượng sản_phẩm tốt date dài,POS,5
7,ăn_nói và thái_độ phục_vụ tốt,POS,4
8,đóng gói sản_phẩm chắc_chắn,POS,5
9,tất sờn hết ca chưa dùng mà vay r,NEG,2
10,shop phục_vụ rất tốt,POS,5
12,chất vải khỏi chê,POS,5
13,thời_gian giao hàng rất nhanh,POS,5
14,chất_lượng sản_phẩm tuyệt_vời,POS,4
15,vải hơi thô cứng thời_gian giao hàng nhanh,POS,5
16,chất_lượng sp chưa thật_sự đẹp nhe shop,POS,4
17,rất đáng tiền thời_gian giao hàng rất nhanh,POS,5
18,quần rất đẹp mặc vừa_vặn,POS,5
19,cảm_giác mua hàng bị hớ thật tệ,NEG,2
20,khi mua về nên đi sửa lại,NEG,2
22,rất đáng tiền thời_gian giao hàng rất nhanh chất_lượng sản_phẩm tuyệt_vời,POS,5
23,giá_cả chấp_nhận được,POS,4
24,nchung là rất ổn,POS,5
25,áo quá đẹp luôn nếu không muốn nói là đẹp may quá có áo mới đi làm cty mới shop còn mẫu nào trắng nữa để mình mua,POS,5
26,chưa mặc nhưng thấy chất dày_dặn nhìn_chung là hài_lòng,POS,5
27,chất vải đã ok mà hình thì siu ciu luôn í_shop rất nhiệt_tình chịu,POS,5
28,giao hàng nhanh,POS,5
29,thấy khá okz thanks_shop,POS,4
30,chất_lượng sản_phẩm tuyệt_vời sẽ ủng_hộ shop nhiều,POS,5
31,chất_lượng sản_phẩm tạm được vải hơi khô và mỏng,POS,4
32,hàng_hoá lừa_đảo,NEG,1
33,thời_gian giao hàng nhanh,POS,4
34,ảnh in đẹp,POS,5
35,giá lại rẻ,POS,5
36,quần_áo super đẹp,POS,4
37,giao hàng thiếu nt cho shop đã xem mà k có phản_hồi gì,NEG,1
38,thank shop,POS,5
39,tuyệt_vời hơn khi mua trên shopee thì được freeship,POS,5
40,tiếc là ko đặt thêm mấy chiếc,POS,5
41,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt thời_gian giao hàng rất nhanh,POS,5
42,đồng_hồ mua về k sử dụg đc,NEG,1
43,chất mềm mịn mát,POS,5
44,giao thiếu 1 b 80 k mà im_re,NEG,1
45,sản phr rất ưng_ý,POS,5
46,chất_lượng sản_phẩm tuyệt_vời,POS,5
47,mua lần 2 rồi <3,POS,5
48,ngực em cuzng bitnhf thường thôi mà mặc vào nó vừa đẩy vừa sáng cả cái bầu ngực,NEG,1
49,quần đợt 2 đặt tận 7 chiếc mà chất quần hoàn_toàn xa với đợt 1,POS,5
50,99 k cũng đáng mua,POS,5
51,quần đẹp vừa form,POS,5
52,giao hàng nhanh,POS,5
53,chất vải xấu xù,NEG,2
55,đẹp chất mềm_mại mặc rất thích chủ_shop nhiệt_tình chất_lượng sản_phẩm tuyệt_vời shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh,POS,5
